"date","daytype","rides"
"01/01/2001","U","1,227"
"01/02/2001","W","3,937"
"01/03/2001","W","4,329"
"01/04/2001","W","4,607"
"01/05/2001","W","4,666"
"01/06/2001","A","2,710"
"01/07/2001","U","1,935"
"01/08/2001","W","4,785"
"01/09/2001","W","4,906"
"01/10/2001","W","4,985"
"01/11/2001","W","5,069"
"01/12/2001","W","5,180"
"01/13/2001","A","3,079"
"01/14/2001","U","2,170"
"01/15/2001","W","3,682"
"01/16/2001","W","5,042"
"01/17/2001","W","5,089"
"01/18/2001","W","5,097"
"01/19/2001","W","4,792"
"01/20/2001","A","2,863"
"01/21/2001","U","2,025"
"01/22/2001","W","4,811"
"01/23/2001","W","4,903"
"01/24/2001","W","5,053"
"01/25/2001","W","5,100"
"01/26/2001","W","5,065"
"01/27/2001","A","2,922"
"01/28/2001","U","2,144"
"01/29/2001","W","4,726"
"01/30/2001","W","4,957"
"01/31/2001","W","4,941"
"02/01/2001","W","5,017"
"02/02/2001","W","4,871"
"02/03/2001","A","2,925"
"02/04/2001","U","1,963"
"02/05/2001","W","4,794"
"02/06/2001","W","5,015"
"02/07/2001","W","4,912"
"02/08/2001","W","4,993"
"02/09/2001","W","5,021"
"02/10/2001","A","3,113"
"02/11/2001","U","1,973"
"02/12/2001","W","4,658"
"02/13/2001","W","5,072"
"02/14/2001","W","4,946"
"02/15/2001","W","5,238"
"02/16/2001","W","5,164"
"02/17/2001","A","3,036"
"02/18/2001","U","1,973"
"02/19/2001","W","3,963"
"02/20/2001","W","4,863"
"02/21/2001","W","4,871"
"02/22/2001","W","5,779"
"02/23/2001","W","5,462"
"02/24/2001","A","2,548"
"02/25/2001","U","1,951"
"02/26/2001","W","4,928"
"02/27/2001","W","5,036"
"02/28/2001","W","5,250"
"03/01/2001","W","5,150"
"03/02/2001","W","5,242"
"03/03/2001","A","3,482"
"03/04/2001","U","2,082"
"03/05/2001","W","4,491"
"03/06/2001","W","4,675"
"03/07/2001","W","5,125"
"03/08/2001","W","5,169"
"03/09/2001","W","5,333"
"03/10/2001","A","3,370"
"03/11/2001","U","2,319"
"03/12/2001","W","4,744"
"03/13/2001","W","5,186"
"03/14/2001","W","5,166"
"03/15/2001","W","5,152"
"03/16/2001","W","5,396"
"03/17/2001","A","5,637"
"03/18/2001","U","2,906"
"03/19/2001","W","5,112"
"03/20/2001","W","5,106"
"03/21/2001","W","5,279"
"03/22/2001","W","5,186"
"03/23/2001","W","5,318"
"03/24/2001","A","3,128"
"03/25/2001","U","2,037"
"03/26/2001","W","4,890"
"03/27/2001","W","5,056"
"03/28/2001","W","5,090"
"03/29/2001","W","5,239"
"03/30/2001","W","5,143"
"03/31/2001","A","3,311"
"04/01/2001","U","2,706"
"04/02/2001","W","10,989"
"04/03/2001","W","5,203"
"04/04/2001","W","7,605"
"04/05/2001","W","6,904"
"04/06/2001","W","5,441"
"04/07/2001","A","3,604"
"04/08/2001","U","2,509"
"04/09/2001","W","4,946"
"04/10/2001","W","5,269"
"04/11/2001","W","5,080"
"04/12/2001","W","5,379"
"04/13/2001","W","9,811"
"04/14/2001","A","8,384"
"04/15/2001","U","3,938"
"04/16/2001","W","6,051"
"04/17/2001","W","6,661"
"04/18/2001","W","8,668"
"04/19/2001","W","5,154"
"04/20/2001","W","5,513"
"04/21/2001","A","4,209"
"04/22/2001","U","2,385"
"04/23/2001","W","4,875"
"04/24/2001","W","5,244"
"04/25/2001","W","5,113"
"04/26/2001","W","5,264"
"04/27/2001","W","5,512"
"04/28/2001","A","3,278"
"04/29/2001","U","2,459"
"04/30/2001","W","4,998"
"05/01/2001","W","8,523"
"05/02/2001","W","8,636"
"05/03/2001","W","8,974"
"05/04/2001","W","10,094"
"05/05/2001","A","9,292"
"05/06/2001","U","7,628"
"05/07/2001","W","4,987"
"05/08/2001","W","5,290"
"05/09/2001","W","5,326"
"05/10/2001","W","5,400"
"05/11/2001","W","5,542"
"05/12/2001","A","3,521"
"05/13/2001","U","2,438"
"05/14/2001","W","5,016"
"05/15/2001","W","9,817"
"05/16/2001","W","9,672"
"05/17/2001","W","10,518"
"05/18/2001","W","11,931"
"05/19/2001","A","9,919"
"05/20/2001","U","8,355"
"05/21/2001","W","4,956"
"05/22/2001","W","11,729"
"05/23/2001","W","9,595"
"05/24/2001","W","8,900"
"05/25/2001","W","9,729"
"05/26/2001","A","8,986"
"05/27/2001","U","9,089"
"05/28/2001","U","2,063"
"05/29/2001","W","4,618"
"05/30/2001","W","5,241"
"05/31/2001","W","5,019"
"06/01/2001","W","5,632"
"06/02/2001","A","3,324"
"06/03/2001","U","2,716"
"06/04/2001","W","5,118"
"06/05/2001","W","10,047"
"06/06/2001","W","11,119"
"06/07/2001","W","12,727"
"06/08/2001","W","6,357"
"06/09/2001","A","4,744"
"06/10/2001","U","3,460"
"06/11/2001","W","5,005"
"06/12/2001","W","3,187"
"06/13/2001","W","128"
"06/14/2001","W","5,889"
"06/15/2001","W","10,267"
"06/16/2001","A","9,592"
"06/17/2001","U","9,618"
"06/18/2001","W","5,190"
"06/19/2001","W","5,381"
"06/20/2001","W","5,730"
"06/21/2001","W","5,564"
"06/22/2001","W","13,431"
"06/23/2001","A","11,203"
"06/24/2001","U","14,195"
"06/25/2001","W","11,929"
"06/26/2001","W","12,562"
"06/27/2001","W","12,828"
"06/28/2001","W","5,461"
"06/29/2001","W","6,064"
"06/30/2001","A","4,128"
"07/01/2001","U","3,359"
"07/02/2001","W","5,270"
"07/03/2001","W","7,357"
"07/04/2001","U","3,867"
"07/05/2001","W","5,385"
"07/06/2001","W","6,060"
"07/07/2001","A","4,732"
"07/08/2001","U","2,829"
"07/09/2001","W","5,329"
"07/10/2001","W","5,356"
"07/11/2001","W","5,512"
"07/12/2001","W","12,605"
"07/13/2001","W","13,764"
"07/14/2001","A","11,382"
"07/15/2001","U","9,804"
"07/16/2001","W","12,172"
"07/17/2001","W","13,021"
"07/18/2001","W","5,455"
"07/19/2001","W","5,450"
"07/20/2001","W","5,648"
